Teacher Name;University Currently Teaching;Department;Province University Located;Designation;Terminal Degree;Graduated from;Country;Year;Area of Specialization/Research Interests;Other Information
Dr. Ihsan Ullah;University of Balochistan;Computer Science & IT;Balochistan;Assistant Professor;PhD;;France;;P2P Networks, Telecommunication Systems;
Dr. Atiq Ahmed;University of Balochistan;Computer Science & IT;Balochistan;Associate Professor;PhD;;France;;Wireless Networks, Telecommunication Systems, Multi-agent Systems;
Dr. Abdul Basit;University of Balochistan;Computer Science & IT;Balochistan;Assistant Professor;PhD;Asian Institute of Technology;Thailand;;Software Engineering & DBMS;
Mr. Muhammad Khalid Badini;University of Balochistan;Computer Science & IT;Balochistan;Assistant Professor;MS;;;;Operating System & DBMS;On study leave
Dr. Waheed Noor;University of Balochistan;Computer Science & IT;Balochistan;Assistant Professor;PhD;Asian Institute of Technology;Thailand;;DBMS;
Dr. Junaid Baber;University of Balochistan;Computer Science & IT;Balochistan;Assistant Professor;PhD;Asian Institute of Technology;Thailand;;Information processing, Multimedia mining;
Dr. Maheen Bakhtyar;University of Balochistan;Computer Science & IT;Balochistan;Assistant Professor;PhD;Asian Institute of Technology;Thailand;;NLP, Information Retrieval, Question Answering system;
Mr. Syed Amjad Hussain;University of Balochistan;Computer Science & IT;Balochistan;Assistant Professor;M.Sc;;;;Automata Theory, Data Structure & Programming languages;
Mr. Syed Muhammad Zubair;University of Balochistan;Computer Science & IT;Balochistan;Assistant Professor;MS;;;;Object Oriented Programming, Network Security;PhD in progress
Dr. Altaf Hussain Bouk;University of Balochistan;Computer Science & IT;Balochistan;Professor;PhD;;Italy;;Optical Fiber, Telecommunication System;
Dr. Muhammad Shumail;University of Balochistan;Computer Science & IT;Balochistan;Lecturer;PhD;;Pakistan;;Computation Theory;
Mr. Jalaluddin;University of Balochistan;Computer Science & IT;Balochistan;Lecturer;Mphil;;;;Statistics & Computer Architecture;
Dr. Liaquat;University of Balochistan;Computer Science & IT;Balochistan;Lecturer;PhD;;Germany;;DBMS, Data Mining;
Ms.Tayyaba Noreen;University of Balochistan;Computer Science & IT;Balochistan;Lecturer;M.Com;;;;Enterpreneurship, Financial Accounting;On Leave
Mr. Muhammad Raza;University of Balochistan;Computer Science & IT;Balochistan;Lecturer;MCS;;;;Networking, .Net, Operating System;On Leave
Engr. Anwar Ali Sanjrani;University of Balochistan;Computer Science & IT;Balochistan;Lecturer;B.E;;;;Artificial Intelligence, Operating System;
Ms. Shafaque Saira Malik;University of Balochistan;Computer Science & IT;Balochistan;Lecturer;MCS;;;;Assembly Language;
Mr. Imran Ali;University of Balochistan;Computer Science & IT;Balochistan;Lecturer;MCS;;;;Software Engineering;On Leave
Mr. Muhammad Sajid;University of Balochistan;Computer Science & IT;Balochistan;Lab Administrator;MPhil;;;;;
