,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
100,Najeebullah Shah,University of Loralai,Computer Science,Balochistan,Lecturer,MS,,,,,
101,Mazhar Mohsin,University of Turbat,Computer Science,Balochistan,Assistant Professor,MS,Asian Institute of Technology,Thailand,,"Object Detection, Object Tracking, Pattern Recognition, Human Computer Interaction, Software Engineering, Data Structures and Algorithms, Object Oriented Programming",
102,Mukhtar Hussain,University of Turbat,Computer Science,Balochistan,Lecturer,MS,SRH Hochschule Heidelberg,Germany,,"Semantic Web, Machine Learning",
103,Rashid Ali,University of Turbat,Computer Science,Balochistan,Lecturer,,,,,,
104,Shamsa Aziz,University of Turbat,Computer Science,Balochistan,Lecturer,MS,"Institute of Business Administration,Karachi",Pakistan,,Semantic Web,
105,Abdul Hakeem,University of Turbat,Computer Science,Balochistan,Lecturer,MS,,,,Networking,
106,Bilal-ur-Rehman,University of Turbat,Computer Science,Balochistan,Lecturer,BE,"DUET,Karachi",Pakistan,,"Computer Graphics, Digital Logic Design, Software Engineering, Operating Systems, Artificial Intelligence",
107,Balach Khan,University of Turbat,Computer Science,Balochistan,Lecturer,BS,University of Balochistan,Pakistan,,"Data Structures & Algorithms, Programming",
108,Pari Naz,University of Turbat,Computer Science,Balochistan,Lecturer,BS,University of Turbat,Pakistan,,"Software Engineering, Theory of Automata and Formal Languages",
109,Maqsood Karim,University of Turbat,Computer Science,Balochistan,Lecturer,BS,,,,"Database, Web Development",
110,Majid Iqbal Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Head of Department,PhD,University of Vienna,Austria,2009.0,"wireless sensor networks, MANETS and internet of things",
111,Sohail Asghar,"COMSATS, Islamabad Campus",Computer Science,Capital,Professor,PhD,Monash University,Australia,2006.0,"Machine Learning and Data mining, decision support system and business intelligence, big data analytics, outcome based education",
112,Zulqarnain Jaffery,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
113,Ikram ul Haq,"COMSATS, Islamabad Campus",Computer Science,Capital,Advisor,,,,,,
114,Muaz A. Niazi,"COMSATS, Islamabad Campus",Computer Science,Capital,Chief Scientific Officer,Phd,University of Stirling,UK,,"Complex Communication Networks such as Internet of Things, Online social networks, Wireless Sensor networks etc. Biological Networks Modeling and Simulation, Agent-based Computing.",
115,Muhammad Manzoor ilahi Tamimy,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,Phd,Chinese Academy of Sciences,China,,"Mining Data Streams, Ubiquitous Data Mining, Intrusion Detection, Distributed Data Mining, Machine learning and data mining, Real-Time system; Publish/Subscribe system; Wireless Sensor Networks, Active databases ECA Rules",
116,Nasro Min-allah,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,Phd,Chinese Academy of Sciences,China,2008.0,"software pipelining, chromatic scheduling, reliable computing and real-time systems",
117,M. Masoom Alam,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,Phd,University of Innsbruck,Austria,2007.0,system administration and research and development,
118,Sajjad A. Madani,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,Phd,Vienna University of Technology,Austria,,,
119,Nadeem Javaid,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,PhD,University of Paris-Est,France,2010.0,"Wireless Ad-hoc, Sensor, Vehicular and Body Area Networks",
120,Khalid Latif,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,,,,,Semantic Web and Information Retrieval.,
121,Muhammad Asim Noor,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
122,Naveed Ahmad,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,The University of Cambridge,UK,,"modelling and simulating change/business processes, software engineering for mobile applications.",
123,Mansoor Ahmed,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,Vienna University of Technology,Austria,," Information security & privacy, Distributed Computing, Knowledge-Based Systems, Data provenance and Semantic Web Technologies. ",
124,Abid Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,Harbin Institute of Technology,China,,"security & privacy of cloud computing(outsourced storage & computation), security protocols, Digital watermarking, Secure Provenance",
125,Iftikhar Azim Niaz,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,,,,,
126,Sheikh Ziauddin,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PostDoc,"University of Nice, Sophia Antipolis",France,,"Image processing, computer vision, information security",
127,Amir Hanif Dar,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
128,Ahmad R. Shahid,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,The University of York,UK,," Natural Language Processing (NLP), which falls under the broader category of Artificial Intelligence. Dr. Shahid is interested in building multilingual, bilingual and monolingual resources using supervised and unsupervised learning approaches. He is also interested in applications of Machine Learning approaches.",
129,Yasir Faheem,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,Galilée - Université Paris 13,France,2012.0,"Routing, medium access control, resource allocation and security related issues in: Internet of Things, cloud computing, Wireless Ad hoc Networks (Sensor networks, vehicular networks, cognitive radio networks, delay tolerant networks) & smart grids. Moreover, I am interested in applications of algorithmic game theory to various problems in wireless networks and global software development.",
130,Munam Ali Shah,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,University of Bedfordshire,UK,2014.0," MAC protocol design, Internet of Things, and security issues in wireless communication systems",
131,Malik Ahmad Kamran,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,Vienna University of Technology,Austria,2011.0,"Collaborative systems, Social Network Analysis, Information privacy, and Access Control",
132,Aimal Tariq Rextin,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,,,,"algorithms, graph theory, visualization and Human Computer Interaction",
133,Adeel ANJUM,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,,,2013.0,data privacy using artificial intelligence techniques.,
134,Basit Raza,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
135,Saif Ur Rehman Malik,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,North Dakota State University,USA,," Formal Methods (verification, modeling, and analysis) of Large Scale Systems, such as Cloud Computing System",
